year,city,avg_temp
1743,Ottawa,-2.46
1744,Ottawa,6.94
1745,Ottawa,-6.59
1746,Ottawa,
1747,Ottawa,
1748,Ottawa,
1749,Ottawa,
1750,Ottawa,4.47
1751,Ottawa,5.10
1752,Ottawa,-3.73
1753,Ottawa,3.90
1754,Ottawa,3.96
1755,Ottawa,0.65
1756,Ottawa,4.23
1757,Ottawa,3.18
1758,Ottawa,2.58
1759,Ottawa,3.39
1760,Ottawa,1.81
1761,Ottawa,4.43
1762,Ottawa,4.14
1763,Ottawa,1.28
1764,Ottawa,3.68
1765,Ottawa,3.13
1766,Ottawa,4.45
1767,Ottawa,2.71
1768,Ottawa,3.12
1769,Ottawa,3.56
1770,Ottawa,3.54
1771,Ottawa,4.26
1772,Ottawa,4.04
1773,Ottawa,4.43
1774,Ottawa,3.69
1775,Ottawa,4.75
1776,Ottawa,3.79
1777,Ottawa,3.30
1778,Ottawa,1.14
1779,Ottawa,4.30
1780,Ottawa,7.02
1781,Ottawa,4.12
1782,Ottawa,3.53
1783,Ottawa,3.23
1784,Ottawa,2.96
1785,Ottawa,2.94
1786,Ottawa,3.45
1787,Ottawa,3.46
1788,Ottawa,4.15
1789,Ottawa,3.83
1790,Ottawa,3.78
1791,Ottawa,3.78
1792,Ottawa,3.19
1793,Ottawa,4.25
1794,Ottawa,4.25
1795,Ottawa,3.68
1796,Ottawa,3.56
1797,Ottawa,3.31
1798,Ottawa,4.03
1799,Ottawa,3.59
1800,Ottawa,4.09
1801,Ottawa,4.49
1802,Ottawa,4.70
1803,Ottawa,4.35
1804,Ottawa,4.08
1805,Ottawa,4.69
1806,Ottawa,3.73
1807,Ottawa,3.55
1808,Ottawa,3.81
1809,Ottawa,3.05
1810,Ottawa,3.53
1811,Ottawa,3.70
1812,Ottawa,2.04
1813,Ottawa,3.35
1814,Ottawa,3.17
1815,Ottawa,2.67
1816,Ottawa,2.21
1817,Ottawa,2.21
1818,Ottawa,2.83
1819,Ottawa,3.33
1820,Ottawa,3.34
1821,Ottawa,3.19
1822,Ottawa,3.74
1823,Ottawa,2.81
1824,Ottawa,3.53
1825,Ottawa,4.51
1826,Ottawa,4.44
1827,Ottawa,3.81
1828,Ottawa,4.80
1829,Ottawa,3.39
1830,Ottawa,4.17
1831,Ottawa,3.45
1832,Ottawa,3.57
1833,Ottawa,3.54
1834,Ottawa,3.73
1835,Ottawa,2.59
1836,Ottawa,2.17
1837,Ottawa,2.46
1838,Ottawa,2.75
1839,Ottawa,3.65
1840,Ottawa,3.91
1841,Ottawa,3.39
1842,Ottawa,3.43
1843,Ottawa,2.98
1844,Ottawa,2.94
1845,Ottawa,3.23
1846,Ottawa,4.04
1847,Ottawa,3.52
1848,Ottawa,3.78
1849,Ottawa,3.19
1850,Ottawa,3.33
1851,Ottawa,3.22
1852,Ottawa,3.37
1853,Ottawa,3.59
1854,Ottawa,3.42
1855,Ottawa,3.38
1856,Ottawa,2.67
1857,Ottawa,3.17
1858,Ottawa,3.27
1859,Ottawa,3.21
1860,Ottawa,3.58
1861,Ottawa,3.46
1862,Ottawa,2.81
1863,Ottawa,3.22
1864,Ottawa,3.99
1865,Ottawa,3.83
1866,Ottawa,3.29
1867,Ottawa,3.00
1868,Ottawa,2.81
1869,Ottawa,3.11
1870,Ottawa,4.76
1871,Ottawa,3.24
1872,Ottawa,3.30
1873,Ottawa,2.94
1874,Ottawa,3.18
1875,Ottawa,1.55
1876,Ottawa,3.37
1877,Ottawa,5.01
1878,Ottawa,5.39
1879,Ottawa,3.09
1880,Ottawa,4.12
1881,Ottawa,4.49
1882,Ottawa,3.74
1883,Ottawa,2.43
1884,Ottawa,3.48
1885,Ottawa,2.28
1886,Ottawa,3.31
1887,Ottawa,3.11
1888,Ottawa,2.65
1889,Ottawa,4.40
1890,Ottawa,3.19
1891,Ottawa,4.54
1892,Ottawa,3.67
1893,Ottawa,2.94
1894,Ottawa,4.52
1895,Ottawa,3.95
1896,Ottawa,3.61
1897,Ottawa,4.04
1898,Ottawa,4.96
1899,Ottawa,4.22
1900,Ottawa,4.19
1901,Ottawa,4.11
1902,Ottawa,4.10
1903,Ottawa,3.99
1904,Ottawa,2.19
1905,Ottawa,3.31
1906,Ottawa,4.16
1907,Ottawa,2.94
1908,Ottawa,4.06
1909,Ottawa,3.98
1910,Ottawa,4.28
1911,Ottawa,4.43
1912,Ottawa,3.11
1913,Ottawa,5.01
1914,Ottawa,3.14
1915,Ottawa,5.02
1916,Ottawa,3.91
1917,Ottawa,2.15
1918,Ottawa,3.55
1919,Ottawa,4.32
1920,Ottawa,4.05
1921,Ottawa,5.51
1922,Ottawa,4.51
1923,Ottawa,3.33
1924,Ottawa,3.43
1925,Ottawa,3.89
1926,Ottawa,2.59
1927,Ottawa,4.49
1928,Ottawa,3.98
1929,Ottawa,3.71
1930,Ottawa,4.73
1931,Ottawa,5.79
1932,Ottawa,4.69
1933,Ottawa,4.19
1934,Ottawa,3.39
1935,Ottawa,3.61
1936,Ottawa,3.70
1937,Ottawa,5.23
1938,Ottawa,4.81
1939,Ottawa,3.71
1940,Ottawa,3.49
1941,Ottawa,4.76
1942,Ottawa,4.80
1943,Ottawa,3.26
1944,Ottawa,4.63
1945,Ottawa,4.64
1946,Ottawa,4.78
1947,Ottawa,4.41
1948,Ottawa,4.84
1949,Ottawa,5.48
1950,Ottawa,4.13
1951,Ottawa,4.63
1952,Ottawa,5.36
1953,Ottawa,6.12
1954,Ottawa,4.26
1955,Ottawa,4.87
1956,Ottawa,3.86
1957,Ottawa,4.88
1958,Ottawa,3.90
1959,Ottawa,4.56
1960,Ottawa,4.83
1961,Ottawa,4.69
1962,Ottawa,3.84
1963,Ottawa,3.73
1964,Ottawa,4.82
1965,Ottawa,3.88
1966,Ottawa,4.62
1967,Ottawa,3.95
1968,Ottawa,4.24
1969,Ottawa,4.63
1970,Ottawa,3.98
1971,Ottawa,4.14
1972,Ottawa,3.33
1973,Ottawa,5.47
1974,Ottawa,3.92
1975,Ottawa,4.97
1976,Ottawa,3.48
1977,Ottawa,4.69
1978,Ottawa,3.60
1979,Ottawa,4.79
1980,Ottawa,3.70
1981,Ottawa,5.10
1982,Ottawa,4.16
1983,Ottawa,5.13
1984,Ottawa,4.88
1985,Ottawa,4.09
1986,Ottawa,4.50
1987,Ottawa,5.27
1988,Ottawa,4.84
1989,Ottawa,3.68
1990,Ottawa,5.57
1991,Ottawa,5.46
1992,Ottawa,3.69
1993,Ottawa,3.96
1994,Ottawa,4.06
1995,Ottawa,4.81
1996,Ottawa,4.66
1997,Ottawa,3.99
1998,Ottawa,6.68
1999,Ottawa,6.02
2000,Ottawa,4.61
2001,Ottawa,6.01
2002,Ottawa,5.47
2003,Ottawa,4.40
2004,Ottawa,4.46
2005,Ottawa,5.53
2006,Ottawa,6.30
2007,Ottawa,4.96
2008,Ottawa,5.01
2009,Ottawa,4.71
2010,Ottawa,6.73
2011,Ottawa,6.14
2012,Ottawa,6.59
2013,Ottawa,7.08
